table_name,record_identifier,rejection_reason,rejected_at,raw_payload
customers,CUST_006968,DUPLICATE_CUSTOMER_ID,2026-09-08T16:00:15.279862+00:00,"{""customer_id"": ""CUST_006968"", ""name"": ""Shirley Reyes"", ""gender"": ""Female"", ""age"": 29.0, ""city"": ""Detroit"", ""state"": ""MI"", ""signup_date"": ""2022-07-06"", ""is_age_imputed"": false}"
customers,CUST_006520,DUPLICATE_CUSTOMER_ID,2026-09-08T16:00:15.279862+00:00,"{""customer_id"": ""CUST_006520"", ""name"": ""Victoria Rodriguez"", ""gender"": ""Female"", ""age"": 56.0, ""city"": ""Los Angeles"", ""state"": ""CA"", ""signup_date"": ""2023-02-03"", ""is_age_imputed"": false}"
customers,CUST_006550,DUPLICATE_CUSTOMER_ID,2026-09-08T16:00:15.279862+00:00,"{""customer_id"": ""CUST_006550"", ""name"": ""Samantha Walker"", ""gender"": ""Female"", ""age"": 24.0, ""city"": ""New York"", ""state"": ""NY"", ""signup_date"": ""2023-09-08"", ""is_age_imputed"": false}"
customers,CUST_004235,DUPLICATE_CUSTOMER_ID,2026-09-08T16:00:15.279862+00:00,"{""customer_id"": ""CUST_004235"", ""name"": ""Kimberly Sanchez"", ""gender"": ""Female"", ""age"": 33.0, ""city"": ""Chicago"", ""state"": ""IL"", ""signup_date"": ""2022-09-22"", ""is_age_imputed"": false}"
customers,CUST_007903,DUPLICATE_CUSTOMER_ID,2026-09-08T16:00:15.279862+00:00,"{""customer_id"": ""CUST_007903"", ""name"": ""Bryan King"", ""gender"": ""Male"", ""age"": 32.0, ""city"": ""Charlotte"", ""state"": ""NC"", ""signup_date"": ""2023-11-05"", ""is_age_imputed"": false}"
customers,CUST_006198,DUPLICATE_CUSTOMER_ID,2026-09-08T16:00:15.279862+00:00,"{""customer_id"": ""CUST_006198"", ""name"": ""Amanda Lopez"", ""gender"": ""Female"", ""age"": 20.0, ""city"": ""Los Angeles"", ""state"": ""CA"", ""signup_date"": ""2022-11-18"", ""is_age_imputed"": false}"
customers,CUST_008081,DUPLICATE_CUSTOMER_ID,2026-09-08T16:00:15.279862+00:00,"{""customer_id"": ""CUST_008081"", ""name"": ""Kathryn Gutierrez"", ""gender"": ""Female"", ""age"": 29.0, ""city"": ""San Diego"", ""state"": ""CA"", ""signup_date"": ""2023-03-02"", ""is_age_imputed"": false}"
customers,CUST_009797,DUPLICATE_CUSTOMER_ID,2026-09-08T16:00:15.279862+00:00,"{""customer_id"": ""CUST_009797"", ""name"": ""Christina Taylor"", ""gender"": ""Female"", ""age"": 18.0, ""city"": ""Los Angeles"", ""state"": ""CA"", ""signup_date"": ""2022-02-16"", ""is_age_imputed"": false}"
customers,CUST_009237,DUPLICATE_CUSTOMER_ID,2026-09-08T16:00:15.279862+00:00,"{""customer_id"": ""CUST_009237"", ""name"": ""Kelly Edwards"", ""gender"": ""Female"", ""age"": 25.0, ""city"": ""Austin"", ""state"": ""TX"", ""signup_date"": ""2023-08-03"", ""is_age_imputed"": false}"
customers,CUST_002299,DUPLICATE_CUSTOMER_ID,2026-09-08T16:00:15.279862+00:00,"{""customer_id"": ""CUST_002299"", ""name"": ""Emily Torres"", ""gender"": ""Female"", ""age"": 42.0, ""city"": ""Miami"", ""state"": ""FL"", ""signup_date"": ""2023-09-12"", ""is_age_imputed"": false}"
customers,CUST_006439,DUPLICATE_CUSTOMER_ID,2026-09-08T16:00:15.279862+00:00,"{""customer_id"": ""CUST_006439"", ""name"": ""Scott Mendoza"", ""gender"": ""Male"", ""age"": 39.0, ""city"": ""Portland"", ""state"": ""OR"", ""signup_date"": ""2024-01-29"", ""is_age_imputed"": false}"
customers,CUST_008305,DUPLICATE_CUSTOMER_ID,2026-09-08T16:00:15.279862+00:00,"{""customer_id"": ""CUST_008305"", ""name"": ""Kyle Young"", ""gender"": ""Male"", ""age"": 35.0, ""city"": ""San Diego"", ""state"": ""CA"", ""signup_date"": ""2023-02-05"", ""is_age_imputed"": false}"
